NAME;SKU;BARCODE;UNIT;COST PRICE;SALE PRICE;CURRENCY;STOCK QTITE;MIN STOCK;REORD QTE;CATEGORY;CATEGORY ID
VASELINE BLUE;;PROD00199;PIECE;915;2000;CDF;12;2;0;pommade;
SOFTCARE LINGETTE;;PROD00199;PIECE;76000;4500;CDF;6;2;0;pampers;
SOFTCARE N2;;PROD00199;PIECE;13000;15000;CDF;6;2;0;pampers;
SOFTCARE N3;;PROD00199;PIECE;13000;15000;CDF;6;2;0;pampers;
SOFTCARE N4;;PROD00203;PIECE;80000;15000;CDF;12;2;0;huile ;
SOFTCARE N5;;PROD00204;PIECE;80000;15000;CDF;8;2;0;Huile ;
SOJA 2,5L;;PROD00205;PIECE;176000;17000;CDF;24;2;0;Huile ;
SOJA 5L;;PROD00206;PIECE;21000;27000;CDF;8;2;0;huile ;
SOJA 75CL;;PROD00207;PIECE;5125;6500;CDF;24;2;0;huile ;
SONAS ROSE;;PROD00208;PIECE;1600;2500;CDF;60;2;0;savon;
SONAS BLANC;;PROD00209;PIECE;1600;2500;CDF;60;2;0;savon;
SONAS JAUNE;;PROD00210;PIECE;1600;2500;CDF;60;2;0;savon;
SONAS VERT;;PROD00211;PIECE;1600;2500;CDF;60;2;0;savon;
SOUMAMOUSSE 1L;;PROD00212;PIECE;78000;8000;CDF;8;2;0;huile ;
SOUMAMOUSSE 5L;;PROD00213;PIECE;193800;29000;CDF;100;2;0;Spaguetti;
SOYOLA 5L;;PROD00214;PIECE;180000;32000;CDF;24;2;0;Spaguetti;
SPAGUETTI MARIANNA;;PROD00215;PIECE;1350;2500;CDF;40;2;0;Spaguetti;
SPAGUETTI RONI;;PROD00216;PIECE;1850;2500;CDF;20;2;0;Spaguetti;
SPRITE 500ML;;PROD00217;PIECE;90000;2000;CDF;80;2;0;sucre;
SUCRE 195g;;PROD00218;PIECE;813;1000;CDF;60;2;0;sucre;
SUCRE 1KG;;PROD00219;PIECE;4025;5000;CDF;20;2;0;sucre;
