NAME;SKU;BARCODE;UNIT;COST PRICE;SALE PRICE;CURRENCY;STOCK QTITE;MIN STOCK;REORD QTE;CATEGORY;CATEGORY ID
MALTI PM;SKU-00128;PROD00128;PIECE;21500;1000;CDF;60;2;0;Boisson;
MAQ 500G;SKU-00129;PROD00129;PIECE;122500;5000;CDF;240;2;0;Boisson;
MARAKUDJA YES;SKU-00130;PROD00130;PIECE;165;500;CDF;100;2;0;Emballage;
MARKET;SKU-00131;PROD00131;PIECE;21000;500;CDF;12;2;0;Dentifrice;
MAXAM;SKU-00132;PROD00132;PIECE;875;1000;CDF;12;2;0;Dentifrice;
MAYO 1L;SKU-00133;PROD00133;PIECE;16000;20000;CDF;6;2;0;Mayonaise;
MAYO 250ML;SKU-00134;PROD00134;PIECE;5000;6500;CDF;12;2;0;Mayonaise;
MAYO 500ML;SKU-00135;PROD00135;PIECE;92000;10500;CDF;60;2;0;Mayonaise;
MENTOS;SKU-00136;PROD00136;PIECE;750;1000;CDF;60;2;0;Divers;
MILKIT GM;SKU-00137;PROD00137;PIECE;1625;2500;CDF;36;2;0;Boisson;
MILKIT PM;SKU-00138;PROD00138;PIECE;813;1500;CDF;120;2;0;Boisson;
MINUTE MAID;SKU-00139;PROD00139;PIECE;3330;5500;CDF;24;2;0;Boisson;
MOMO 1800G;SKU-00140;PROD00140;PIECE;54000;67000;CDF;6;2;0;Lait;
MOMO 400G;SKU-00141;PROD00141;PIECE;10000;14000;CDF;24;2;0;Lait;
MOMO 800G;SKU-00142;PROD00142;PIECE;24125;28500;CDF;12;2;0;Lait;
MONGANGA LIQUIDE;SKU-00143;PROD00143;PIECE;2450;3500;CDF;24;2;0;Savon;
MONGANGA ROUGE;SKU-00144;PROD00144;PIECE;830;1000;CDF;50;2;0;Savon;
MONSTA CREAM;SKU-00145;PROD00145;PIECE;45000;500;CDF;120;2;0;Biscuit;
MULTANA;SKU-00146;PROD00146;PIECE;107000;12000;CDF;6;2;0;Boisson;
MUSCADOR;SKU-00147;PROD00147;PIECE;94000;18000;CDF;6;2;0;Boisson;
N1;SKU-00148;PROD00148;PIECE;340;500;CDF;500;2;0;Biscuit;
NAN 1, 2 et 3;SKU-00149;PROD00149;PIECE;14000;19000;CDF;60;2;0;Lait;
NEDERBURG 56 CAB;SKU-00150;PROD00150;PIECE;97580;20500;CDF;6;2;0;Boisson;
NEDERBURG BARONNE;SKU-00151;PROD00151;PIECE;110000;20500;CDF;6;2;0;Boisson;
NEDERBURG C/B;SKU-00152;PROD00152;PIECE;130000;22000;CDF;6;2;0;Boisson;
NEDERBURG wms;SKU-00153;PROD00153;PIECE;106000;20500;CDF;6;2;0;Boisson;
NESCAFE;SKU-00154;PROD00154;PIECE;27000;250;CDF;200;2;0;Café;
NESQUIK pm;SKU-00155;PROD00155;PIECE;121000;11000;CDF;15;2;0;Nesquik;
NIDO 2500G;SKU-00156;PROD00156;PIECE;80000;87000;CDF;6;2;0;Lait;
NIDO 400G;SKU-00157;PROD00157;PIECE;10200;14000;CDF;12;2;0;Lait;
NIDO 800G;SKU-00158;PROD00158;PIECE;24500;30000;CDF;12;2;0;Lait;
NIDO SACHET;SKU-00159;PROD00159;PIECE;368;500;CDF;150;2;0;Lait;
ORANGE TANGO;SKU-00160;PROD00160;PIECE;427500;500;CDF;1200;2;0;Boisson;
OXFORD GM;SKU-00161;PROD00161;PIECE;59300;8000;CDF;10;2;0;Cornebeef;
OXFORD PM;SKU-00162;PROD00162;PIECE;44000;6500;CDF;10;2;0;Cornebeef;
PAPIER HYGIENIQUE;SKU-00163;PROD00163;PIECE;15000;1000;CDF;18;2;0;Ph;
PAPIER MOUCHOIR;SKU-00164;PROD00164;PIECE;27000;500;CDF;72;2;0;Pm;
PAPIER SERVIETTE;SKU-00165;PROD00165;PIECE;69500;12000;CDF;24;2;0;Mouchoir;
PATTE ARACHIDE PM;SKU-00166;PROD00166;PIECE;37500;4500;CDF;20;2;0;Patte D'arachide;
PATTE ARACHIDE D'LITE GM;SKU-00167;PROD00167;PIECE;38750;8500;CDF;12;2;0;Patte D'arachide;
PATTE ARACHIDE D'LITE PM;SKU-00168;PROD00168;PIECE;29000;4500;CDF;20;2;0;Patte D'arachide;
PATTE ARACHIDE GM;SKU-00169;PROD00169;PIECE;45000;8500;CDF;12;2;0;Patte D'arachide;
PATTE CHOCOLAT;SKU-00170;PROD00170;PIECE;76700;8000;CDF;36;2;0;Chocolat;
PEPSI 2L;SKU-00171;PROD00171;PIECE;110500;5000;CDF;12;2;0;Boisson;
PHOSPHATINE;SKU-00172;PROD00172;PIECE;76500;7500;CDF;24;2;0;Pilchard;
